symbol,priceChange,priceChangePercent,weightedAvgPrice,prevClosePrice,lastPrice,lastQty,bidPrice,bidQty,askPrice,askQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count,created_at
ETHBTC,0.00074,1.528,0.04898872,0.04844,0.04918,0.288,0.04917,24.3672,0.04918,40.763,0.04844,0.04938,0.04844,33319.6788,1632.28849446,2024-04-24 02:35:09.869,2024-04-25 02:35:09.869,441880334,442093861,213528,2024-04-25
LTCBTC,0.0,0.0,0.00130597,0.001292,0.001292,3.26,0.001291,82.431,0.001292,7.56,0.001292,0.001331,0.001282,100752.454,131.57947064,2024-04-24 02:35:10.251,2024-04-25 02:35:10.251,96975620,96997269,21650,2024-04-25
BNBBTC,0.000407,4.494,0.00926587,0.009057,0.009464,2.61,0.009463,3.495,0.009464,7.501,0.009057,0.009576,0.009039,58688.554,543.80068036,2024-04-24 02:35:10.089,2024-04-25 02:35:10.089,240735121,240954313,219193,2024-04-25
NEOBTC,-2.4e-06,-0.858,0.00027926,0.0002797,0.0002774,19.03,0.0002772,4.34,0.0002775,44.86,0.0002798,0.0002855,0.0002739,41997.06,11.72827751,2024-04-24 02:35:09.960,2024-04-25 02:35:09.960,46432656,46435294,2639,2024-04-25
QTUMETH,-4.1e-05,-3.151,0.00127721,0.001309,0.00126,214.9,0.001261,15.0,0.001264,50.1,0.001301,0.001302,0.001258,2700.3,3.4488405,2024-04-24 02:34:36.303,2024-04-25 02:34:36.303,5446124,5446233,110,2024-04-25
EOSETH,3.27e-05,12.534,0.00027032,0.0002605,0.0002936,3.6,0.0002934,562.9,0.0002939,123.6,0.0002609,0.0003053,0.0002597,1268941.2,343.01991411,2024-04-24 02:35:10.032,2024-04-25 02:35:10.032,23622000,23626772,4773,2024-04-25
SNTETH,-9.1e-07,-6.551,1.405e-05,1.386e-05,1.298e-05,346.0,1.297e-05,9337.0,1.299e-05,11398.0,1.389e-05,1.451e-05,1.297e-05,2022419.0,28.41889869,2024-04-24 02:34:21.326,2024-04-25 02:34:21.326,3991836,3992980,1145,2024-04-25
BNTETH,3e-07,0.131,0.00023321,0.0002286,0.0002294,10.7,0.0002287,152.5,0.0002294,276.0,0.0002291,0.0002375,0.000228,41973.5,9.78853776,2024-04-24 02:34:56.199,2024-04-25 02:34:56.199,2324762,2325123,362,2024-04-25
BCCBTC,0.0,0.0,0.0,0.079081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-04-04 06:39:59.822,2024-04-05 06:39:59.822,-1,-1,0,2024-04-25
GASBTC,-1.3e-06,-1.548,8.477e-05,8.39e-05,8.27e-05,16.6,8.26e-05,295.4,8.28e-05,15.6,8.4e-05,8.68e-05,8.19e-05,20342.8,1.72442438,2024-04-24 02:35:06.252,2024-04-25 02:35:06.252,22297333,22298369,1037,2024-04-25
BNBETH,0.0054,2.888,0.18853851,0.187,0.1924,3.638,0.1924,25.697,0.1925,4.59,0.187,0.1954,0.1844,14942.487,2817.2341793,2024-04-24 02:35:05.334,2024-04-25 02:35:05.334,59321231,59356728,35498,2024-04-25
BTCUSDT,-2286.35,-3.435,65193.63218126,66564.37,64278.01,0.0628,64278.01,1.01149,64278.02,10.8439,66564.36,67070.43,63606.06,34264.46762,2233825098.9051323,2024-04-24 02:35:10.228,2024-04-25 02:35:10.228,3571639301,3573424061,1784761,2024-04-25
ETHUSDT,-64.55,-2.001,3201.34515293,3225.25,3160.66,0.0308,3160.65,7.6786,3160.66,69.7951,3225.21,3293.56,3104.9,409503.9459,1310963472.311125,2024-04-24 02:35:10.150,2024-04-25 02:35:10.150,1404357817,1405501656,1143840,2024-04-25
HSRBTC,0.0,0.0,0.0,0.000414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-04-04 06:39:59.822,2024-04-05 06:39:59.822,-1,-1,0,2024-04-25
OAXETH,0.0,0.0,0.0,0.0001778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-04-04 06:39:59.822,2024-04-05 06:39:59.822,-1,-1,0,2024-04-25
DNTETH,0.0,0.0,0.0,2.801e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-04-04 06:39:59.822,2024-04-05 06:39:59.822,-1,-1,0,2024-04-25
MCOETH,0.0,0.0,0.0,0.005772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-04-04 06:39:59.822,2024-04-05 06:39:59.822,-1,-1,0,2024-04-25
ICNETH,0.0,0.0,0.0,0.001663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-04-04 06:39:59.822,2024-04-05 06:39:59.822,-1,-1,0,2024-04-25
MCOBTC,0.0,0.0,0.0,0.0002114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-04-04 06:39:59.822,2024-04-05 06:39:59.822,-1,-1,0,2024-04-25
WTCBTC,0.0,0.0,0.0,2.4e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-04-04 06:39:59.822,2024-04-05 06:39:59.822,-1,-1,0,2024-04-25
WTCETH,0.0,0.0,0.0,0.000237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-04-04 06:39:59.822,2024-04-05 06:39:59.822,-1,-1,0,2024-04-25
